"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_y1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".side_x1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	"fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_y0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_y1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_x0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_x1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_y0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_y1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_x0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".side_x1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	"fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_y0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_y1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_x0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_x1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_y0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_y1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_x0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".side_x1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
2	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	"fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_y0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_y1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_x0_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_x1_fractures"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_y0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_y1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_x0"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".side_x1"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
