Beta,C1111,C2211,C1211,C1122,C2222,C1222,C1112,C2212,C1212
-0.21,3.571627528,0.210487961,0.013140141,0.255553241,2.434576924,-0.033585833,0.000138216,0.078563628,0.959663945
-0.19,3.508718333,0.200107949,0.002777626,0.238786007,2.370794613,-0.019269844,-0.015437998,0.064082618,0.941136804
-0.17,3.446402337,0.199151764,-0.006127966,0.228375736,2.318256825,-0.000869111,-0.027207347,0.049286171,0.922755293
-0.15,3.391419611,0.194775731,-0.016712045,0.218300722,2.273393764,0.011362222,-0.037511202,0.035607583,0.905279122
-0.13,3.327821947,0.188972723,-0.028444159,0.206224262,2.244921416,0.012937818,-0.046049773,0.023813332,0.891108
-0.11,3.257814706,0.183898248,-0.041400526,0.192553213,2.208437756,0.015034326,-0.04943776,0.01878344,0.884042001
-0.09,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
-0.07,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
-0.05,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
-0.03,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
-0.01,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.01,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.03,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.05,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.07,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.09,3.205877199,0.182723454,-0.049762563,0.181230623,2.177755275,0.016804989,-0.0497032,0.018383823,0.883477863
0.11,3.205877199,0.182723454,-0.049762563,0.17708118,2.178291461,0.016873216,-0.056411671,-0.009414765,0.907249598
0.13,3.205877199,0.182723454,-0.049762563,0.170435814,2.179150167,0.016982484,-0.06847147,-0.04137375,0.9369732
0.15,3.205877199,0.182723454,-0.049762563,0.188210017,2.176382227,0.014375002,-0.081669305,-0.069204373,0.964223604
0.17,3.205877199,0.182723454,-0.049762563,0.214572036,2.172349767,0.01086561,-0.092459151,-0.091153169,0.986462036
0.19,3.205877199,0.182723454,-0.049762563,0.235384157,2.169166246,0.008095038,-0.101064763,-0.108801689,1.005836495
0.21,3.205877199,0.182723454,-0.049762563,0.252232064,2.16658911,0.005852195,-0.108532237,-0.123386079,1.023426522
